# Time-averaged data for fix dta
# TimeStep v_myrho v_mylx v_myly v_mylz v_myp
168000 1.25882 41.4976 37.6123 52.9722 -1999.37
169000 1.25819 41.5113 37.6081 52.9872 -2364.49
170000 1.25748 41.5341 37.5979 53.0022 -3281.9
171000 1.2569 41.5546 37.5862 53.0172 -2486.2
172000 1.25635 41.5713 37.5767 53.0322 -1847.83
173000 1.25552 41.5899 37.5744 53.0472 -1796.74
174000 1.25453 41.6081 37.5767 53.0622 -1999.97
175000 1.2534 41.6244 37.5855 53.0772 -2929.89
176000 1.25221 41.6422 37.5943 53.0922 -2339.68
177000 1.25085 41.6645 37.6043 53.1072 -2618.28
178000 1.24994 41.674 37.6126 53.1222 -2919.23
179000 1.25016 41.6645 37.6039 53.1372 -2854.12
180000 1.25116 41.6475 37.5786 53.1522 -2855.2
181000 1.25239 41.6268 37.5498 53.1672 -3193.4
182000 1.25435 41.5858 37.5176 53.1822 -1337.81
183000 1.25624 41.5426 37.4894 53.1972 -2390.02
184000 1.25779 41.501 37.4701 53.2122 -2737.27
185000 1.25905 41.4605 37.4587 53.2272 -1317.42
186000 1.26011 41.4225 37.4511 53.2422 -1870
187000 1.26088 41.3916 37.4456 53.2572 -2301.74
188000 1.26097 41.3704 37.4516 53.2722 -2499.44
189000 1.26068 41.3499 37.4682 53.2872 -1307.56
190000 1.25977 41.33 37.5025 53.3022 -1455.02
191000 1.25852 41.3116 37.546 53.3172 -2173.27
192000 1.25659 41.3083 37.5961 53.3322 -1268.53
193000 1.2543 41.312 37.6508 53.3472 -2432.7
194000 1.25203 41.3183 37.7029 53.3622 -1530.39
195000 1.24962 41.3324 37.7519 53.3772 -1429.97
196000 1.24834 41.3347 37.778 53.3922 -2157.66
197000 1.24844 41.3194 37.7784 53.4072 -2495.63
198000 1.24862 41.3073 37.7734 53.4222 -1069.29
199000 1.24872 41.3037 37.763 53.4372 -1824.81
200000 1.24908 41.2949 37.7496 53.4522 -2041.81
201000 1.2496 41.2818 37.7351 53.4672 -3776.06
202000 1.25048 41.2634 37.7149 53.4822 -1824.94
203000 1.25178 41.2431 37.6837 53.4972 -1928.31
204000 1.25323 41.2289 37.6425 53.5122 -2341.47
205000 1.25395 41.2363 37.6037 53.5272 -2586.28
206000 1.25442 41.2447 37.5713 53.5422 -3402.79
207000 1.2545 41.2565 37.5476 53.5572 -2145.94
208000 1.25466 41.2643 37.5252 53.5722 -3365.3
209000 1.25494 41.2723 37.4992 53.5872 -3237.14
210000 1.25522 41.2724 37.48 53.6022 -1884.3
211000 1.25487 41.282 37.4714 53.6172 -3934.53
212000 1.25453 41.2958 37.4587 53.6322 -2078.43
213000 1.25415 41.3069 37.4494 53.6472 -2753
214000 1.25342 41.3171 37.4514 53.6622 -3751.64
215000 1.25297 41.3205 37.4514 53.6772 -2780.55
216000 1.25272 41.3154 37.453 53.6922 -2057.53
217000 1.25209 41.3146 37.4621 53.7072 -980.027
218000 1.25096 41.3255 37.4756 53.7222 -2878.46
219000 1.25018 41.3322 37.4824 53.7372 -1796.37
220000 1.24951 41.3349 37.4896 53.7522 -2086.21
221000 1.24919 41.3286 37.4946 53.7672 -3379.35
222000 1.24905 41.3149 37.5008 53.7822 -2781.83
223000 1.24876 41.2962 37.5157 53.7972 -3497.92
224000 1.24858 41.2751 37.5299 53.8122 -1588.43
225000 1.24866 41.2509 37.5391 53.8272 -540.792
226000 1.24895 41.2263 37.5423 53.8422 -1951.06
227000 1.2496 41.2038 37.533 53.8572 -2543.13
228000 1.2502 41.1875 37.5194 53.8722 -2902.23
229000 1.25031 41.1779 37.5142 53.8872 -1174.57
230000 1.25026 41.1691 37.5133 53.9022 -2469.42
231000 1.24993 41.1689 37.5131 53.9172 -3395.46
232000 1.25021 41.1609 37.5015 53.9322 -2285.29
233000 1.25039 41.156 37.49 53.9472 -3976.67
234000 1.25031 41.1524 37.4854 53.9622 -2983.23
235000 1.2504 41.1422 37.4815 53.9772 -2360.43
236000 1.25005 41.1294 37.4933 53.9922 -2457.43
237000 1.25013 41.1169 37.4919 54.0072 -2332.07
238000 1.25031 41.1056 37.4863 54.0222 -2421.61
239000 1.2504 41.1004 37.4781 54.0372 -270.771
240000 1.25046 41.1044 37.4622 54.0522 -1946.46
241000 1.25068 41.1089 37.441 54.0672 -1816.2
242000 1.25086 41.1152 37.4195 54.0822 -2993.71
243000 1.25105 41.117 37.4019 54.0972 -735.581
244000 1.25086 41.1184 37.3958 54.1122 -1459.32
245000 1.25055 41.1165 37.3965 54.1272 -2266.39
246000 1.24992 41.1242 37.398 54.1422 -1039.44
247000 1.2487 41.1478 37.4028 54.1572 -2972.18
248000 1.24753 41.1686 37.4086 54.1722 -2777.15
249000 1.2464 41.1826 37.4193 54.1872 -3558.1
250000 1.24589 41.1877 37.4195 54.2022 -2794.9
251000 1.24526 41.1908 37.4254 54.2172 -4090.39
252000 1.2451 41.1776 37.432 54.2322 -2985.76
253000 1.24532 41.1512 37.4388 54.2472 -3667.35
254000 1.24576 41.1211 37.4428 54.2622 -1728.53
255000 1.24637 41.0925 37.4401 54.2772 -2740.27
256000 1.24662 41.0684 37.4442 54.2922 -2699.47
257000 1.2472 41.0418 37.4407 54.3072 -2121.21
258000 1.2476 41.0211 37.4371 54.3222 -575.702
259000 1.24776 40.9997 37.4417 54.3372 -1448.39
260000 1.24825 40.9654 37.4479 54.3522 -899.839
261000 1.24878 40.9217 37.4617 54.3672 -1571.92
262000 1.24862 40.8926 37.4827 54.3822 -1344.25
263000 1.24838 40.8625 37.5074 54.3972 -1600.1
264000 1.2481 40.8343 37.5311 54.4122 -1902.59
265000 1.24779 40.8066 37.5557 54.4272 -3306.3
266000 1.24736 40.7849 37.5783 54.4422 -2290.55
267000 1.24718 40.7579 37.5982 54.4572 -2284.95
268000 1.2468 40.7389 37.6169 54.4722 -1299.94
269000 1.24609 40.7349 37.6318 54.4872 -1191.21
270000 1.24533 40.7404 37.6393 54.5022 -2445.65
271000 1.24449 40.7525 37.6429 54.5172 -1918.46
272000 1.24351 40.7713 37.645 54.5322 -1050.29
