# Time-averaged data for fix dta
# TimeStep v_myrho v_mylx v_myly v_mylz v_myp
155000 1.32502 42.4141 39.5337 48.4095 -3534.81
156000 1.32621 42.3625 39.5487 48.4066 -3122.4
157000 1.3271 42.3244 39.5637 48.3993 -2905.6
158000 1.32753 42.2966 39.5787 48.3972 -2259.79
159000 1.32738 42.2797 39.5937 48.4038 -5221.78
160000 1.32698 42.2665 39.6087 48.4152 -3036.69
161000 1.32653 42.2541 39.6237 48.4273 -1821.12
162000 1.32578 42.2495 39.6387 48.4416 -4026
163000 1.32466 42.2545 39.6537 48.4585 -1579.68
164000 1.32303 42.273 39.6687 48.4787 -3637.65
165000 1.32179 42.2947 39.6837 48.4808 -1609.14
166000 1.32085 42.3153 39.6987 48.4736 -1966.15
167000 1.3199 42.3356 39.7137 48.4668 -2507.91
168000 1.31847 42.3615 39.7287 48.4715 -4719.89
169000 1.31738 42.3821 39.7437 48.4698 -4856.06
170000 1.3164 42.3962 39.7587 48.4713 -3876.31
171000 1.3161 42.4041 39.7737 48.4551 -2702.81
172000 1.31613 42.4109 39.7887 48.4279 -2779.39
173000 1.31656 42.4108 39.8037 48.3939 -4628.01
174000 1.31711 42.4079 39.8187 48.3588 -3345.46
175000 1.31771 42.396 39.8337 48.3322 -4692.28
176000 1.31875 42.3781 39.8487 48.2963 -3609.81
177000 1.32028 42.3443 39.8637 48.2608 -2588.09
178000 1.32146 42.3115 39.8787 48.2368 -4770.7
179000 1.32235 42.2753 39.8937 48.2276 -3883.17
180000 1.32266 42.2417 39.9087 48.2366 -2695.87
181000 1.32209 42.2203 39.9237 48.2633 -3552.68
182000 1.32097 42.2171 39.9387 48.2899 -3900.84
183000 1.31953 42.2192 39.9537 48.3222 -2999.45
184000 1.31843 42.2179 39.9687 48.3455 -1517.34
185000 1.31736 42.2193 39.9837 48.3651 -4187.18
186000 1.31647 42.214 39.9987 48.3857 -3645.74
187000 1.31562 42.2073 40.0137 48.4065 -4964.85
188000 1.3151 42.2023 40.0287 48.4133 -3660.98
189000 1.31537 42.1874 40.0437 48.4023 -4444.4
190000 1.31637 42.1668 40.0587 48.3709 -1943.83
191000 1.3176 42.1476 40.0737 48.33 -4404.63
192000 1.31871 42.1364 40.0887 48.2839 -5888.75
193000 1.31941 42.1405 40.1037 48.2355 -3759.96
194000 1.32007 42.1447 40.1187 48.1887 -4076.19
195000 1.32088 42.1414 40.1337 48.1449 -2964.19
196000 1.32129 42.1451 40.1487 48.1077 -4262.75
197000 1.32153 42.1493 40.1637 48.0761 -2428.04
198000 1.32149 42.1509 40.1787 48.0578 -5112.27
199000 1.32136 42.1455 40.1937 48.0509 -4374.19
200000 1.32087 42.1363 40.2087 48.0614 -4663.83
201000 1.32005 42.1289 40.2237 48.0815 -2814.85
202000 1.31929 42.118 40.2387 48.1038 -3198.29
203000 1.31856 42.1077 40.2537 48.1243 -3027.88
204000 1.31757 42.0965 40.2687 48.1555 -3241.07
205000 1.31647 42.0835 40.2837 48.1926 -3964.93
206000 1.31536 42.0689 40.2987 48.2318 -4344.34
207000 1.31477 42.0553 40.3137 48.2511 -1994.99
208000 1.3147 42.0377 40.3287 48.256 -2582.68
209000 1.31475 42.0198 40.3437 48.2569 -3644.19
210000 1.31497 42.0037 40.3587 48.2495 -3549.33
211000 1.31541 41.9849 40.3737 48.237 -2440.99
212000 1.31589 41.9682 40.3887 48.2205 -3570.31
213000 1.31645 41.9508 40.4037 48.2022 -5093.32
214000 1.317 41.9409 40.4187 48.1755 -4018.79
215000 1.31761 41.9293 40.4337 48.1486 -2207.83
216000 1.31778 41.9213 40.4487 48.1337 -4744.09
217000 1.31744 41.9212 40.4637 48.1286 -1820.71
218000 1.31694 41.9219 40.4787 48.1281 -2029.37
219000 1.31661 41.9166 40.4937 48.1284 -5213.54
220000 1.31642 41.9081 40.5087 48.1272 -1838.4
221000 1.3167 41.8958 40.5237 48.1135 -2122.14
222000 1.3173 41.8773 40.5387 48.0949 -3366.85
223000 1.31766 41.8606 40.5537 48.0831 -4679.39
224000 1.31823 41.8359 40.5687 48.0727 -4067.38
225000 1.31818 41.8189 40.5837 48.0764 -3682.24
226000 1.31744 41.8141 40.5987 48.0914 -3657.07
227000 1.31597 41.8246 40.6137 48.1151 -2971.83
228000 1.31439 41.8422 40.6287 48.1348 -4765.66
229000 1.3131 41.8627 40.6437 48.1408 -2924.13
230000 1.3121 41.8863 40.6587 48.1328 -5523.6
231000 1.3113 41.9119 40.6737 48.115 -5072
232000 1.31012 41.941 40.6887 48.1071 -4298.19
233000 1.30928 41.9582 40.7037 48.1004 -3058.66
234000 1.30871 41.9604 40.7187 48.101 -3751.63
235000 1.30856 41.9501 40.7337 48.1009 -2101.56
236000 1.30872 41.9324 40.7487 48.0973 -2284.8
237000 1.30928 41.9067 40.7637 48.0887 -2761.12
238000 1.31027 41.8793 40.7787 48.0661 -4203.44
239000 1.31192 41.8427 40.7937 48.0297 -4660
240000 1.31361 41.8059 40.8087 47.9926 -4506.79
241000 1.31479 41.7722 40.8237 47.9706 -4940.67
242000 1.31584 41.7378 40.8387 47.9543 -3782.67
243000 1.31613 41.7155 40.8537 47.9518 -2713.69
244000 1.31528 41.7083 40.8687 47.9734 -5256.8
245000 1.31439 41.701 40.8837 47.9967 -3911.28
246000 1.31351 41.6973 40.8987 48.0153 -5697.9
247000 1.31263 41.6918 40.9137 48.0365 -3178.24
248000 1.3119 41.6849 40.9287 48.0536 -5782.43
249000 1.31132 41.6739 40.9437 48.0696 -2884.18
250000 1.31028 41.668 40.9587 48.0973 -2824.51
251000 1.3091 41.6643 40.9737 48.1273 -3351.64
252000 1.3084 41.6544 40.9887 48.1468 -3581.25
253000 1.30755 41.6511 41.0037 48.1644 -2921.39
254000 1.30739 41.6429 41.0187 48.1619 -4194.02
255000 1.30811 41.623 41.0337 48.1408 -5453.31
256000 1.3096 41.6019 41.0487 48.0928 -4812.09
257000 1.31092 41.5927 41.0637 48.0373 -3915.01
258000 1.31171 41.5952 41.0787 47.988 -4898.73
259000 1.31181 41.614 41.0937 47.9453 -2619.2
260000 1.31154 41.643 41.1087 47.9045 -3417.31
261000 1.31042 41.6846 41.1237 47.8798 -4559.98
262000 1.30922 41.727 41.1387 47.8578 -4547.3
263000 1.30784 41.7695 41.1537 47.8421 -3066.92
264000 1.30599 41.8111 41.1687 47.8446 -1958.07
265000 1.30411 41.8443 41.1837 47.858 -3476.13
266000 1.30253 41.8643 41.1987 47.8758 -3118.96
267000 1.30166 41.8712 41.2137 47.8827 -5094.34
268000 1.30203 41.8555 41.2287 47.8694 -2304.64
269000 1.30291 41.8293 41.2437 47.8495 -3804.67
270000 1.30407 41.7935 41.2587 47.8308 -6172.52
271000 1.30539 41.7547 41.2737 47.8092 -4358.48
272000 1.30672 41.7125 41.2887 47.7917 -2529.73
273000 1.30769 41.6755 41.3037 47.7813 -5128.37
274000 1.30829 41.6445 41.3187 47.7776 -3311.2
275000 1.30871 41.6162 41.3337 47.7772 -3571.59
276000 1.30876 41.5939 41.3487 47.7838 -4445.73
277000 1.30858 41.5678 41.3637 47.8029 -3284.04
278000 1.3084 41.547 41.3787 47.8161 -4722.97
279000 1.30797 41.5307 41.3937 47.8332 -4460.68
280000 1.30768 41.511 41.4087 47.8492 -2631.47
281000 1.30756 41.4903 41.4237 47.8604 -3737.68
282000 1.30775 41.4701 41.4387 47.8595 -1893.26
283000 1.30775 41.4556 41.4537 47.8587 -4206.61
284000 1.30768 41.4433 41.4687 47.8581 -5063.64
285000 1.30797 41.425 41.4837 47.8512 -3094.27
286000 1.3084 41.4081 41.4987 47.838 -3483.54
287000 1.30876 41.3967 41.5137 47.8205 -3047.32
288000 1.30923 41.387 41.5287 47.7971 -4539.65
289000 1.30985 41.3769 41.5437 47.7693 -3831.04
290000 1.31013 41.37 41.5587 47.7495 -3186.86
291000 1.31046 41.3667 41.5737 47.7242 -3863.41
292000 1.31083 41.365 41.5887 47.6955 -2150.66
293000 1.31096 41.3671 41.6037 47.671 -3989.53
294000 1.31133 41.3668 41.6187 47.6409 -4514.4
295000 1.31168 41.3678 41.6337 47.6098 -3752.99
296000 1.31152 41.378 41.6487 47.5865 -4886.96
297000 1.31133 41.3927 41.6637 47.5596 -3425.01
298000 1.31065 41.4088 41.6787 47.5488 -3479.76
299000 1.30952 41.428 41.6937 47.5505 -4123.52
300000 1.30851 41.4396 41.7087 47.5566 -3422.47
301000 1.30769 41.4368 41.7237 47.5726 -4739.53
302000 1.30701 41.4235 41.7387 47.5956 -3836.23
303000 1.30612 41.4066 41.7537 47.6305 -3994.37
304000 1.30564 41.3842 41.7687 47.6565 -3553.02
305000 1.30528 41.3596 41.7837 47.6808 -6956.9
306000 1.305 41.3311 41.7987 47.7071 -4634.55
307000 1.30505 41.2984 41.8137 47.7259 -3703.48
308000 1.30511 41.2715 41.8287 47.7375 -3259.85
309000 1.30511 41.254 41.8437 47.7407 -4353.05
310000 1.30498 41.2379 41.8587 47.7471 -4440.77
311000 1.30504 41.2208 41.8737 47.7472 -5109.65
312000 1.3057 41.1968 41.8887 47.7339 -4298.9
313000 1.30673 41.1696 41.9037 47.7108 -2022.86
314000 1.30746 41.1489 41.9187 47.691 -3483.84
315000 1.3077 41.1414 41.9337 47.6739 -2532.51
316000 1.30707 41.1553 41.9487 47.6637 -4358.52
317000 1.30584 41.1808 41.9637 47.662 -4069.58
318000 1.30448 41.2134 41.9787 47.6568 -3773.39
319000 1.30342 41.2481 41.9937 47.6386 -4342.12
320000 1.30263 41.2719 42.0087 47.6231 -5575.4
321000 1.30207 41.2922 42.0237 47.603 -3415.03
322000 1.30175 41.3115 42.0387 47.5755 -3494.54
323000 1.30195 41.3213 42.0537 47.5399 -4893.49
324000 1.30198 41.3337 42.0687 47.5076 -4126.06
325000 1.30172 41.3476 42.0837 47.4844 -4976.87
326000 1.30158 41.3571 42.0987 47.4614 -4785.44
327000 1.30125 41.3669 42.1137 47.4456 -2853.4
328000 1.30122 41.3696 42.1287 47.4265 -3493.71
329000 1.30094 41.3724 42.1437 47.4166 -2671.37
330000 1.30092 41.3673 42.1587 47.4062 -4547.77
331000 1.30092 41.3538 42.1737 47.4051 -3679.88
332000 1.30102 41.3389 42.1887 47.4015 -4071.4
333000 1.3011 41.3219 42.2037 47.4012 -3721.29
334000 1.30157 41.2971 42.2187 47.3959 -3653.46
335000 1.30214 41.2675 42.2337 47.3921 -3757.86
336000 1.30297 41.2268 42.2487 47.3918 -2969.16
337000 1.30395 41.1762 42.2637 47.3977 -4691.51
338000 1.30507 41.1239 42.2787 47.4004 -3488.07
339000 1.30577 41.0798 42.2937 47.409 -2016.64
340000 1.30579 41.0468 42.3087 47.4295 -2500.81
341000 1.30494 41.0286 42.3237 47.4646 -3480.84
342000 1.30368 41.0162 42.3387 47.5081 -4217.14
343000 1.3023 41.0064 42.3537 47.553 -4416.3
344000 1.30153 40.9891 42.3687 47.5842 -3899.36
345000 1.30055 40.9831 42.3837 47.6102 -4141.67
346000 1.29952 40.9801 42.3987 47.6347 -4783.79
347000 1.29842 40.9778 42.4137 47.6608 -3762.8
348000 1.29726 40.9807 42.4287 47.6832 -3317.37
349000 1.29614 40.9909 42.4437 47.6957 -4930.27
350000 1.29566 40.9996 42.4587 47.6864 -5967.81
351000 1.29581 41.0056 42.4737 47.6569 -4703.3
352000 1.2964 41.0159 42.4887 47.6066 -4017.9
353000 1.29715 41.0305 42.5037 47.5453 -3337.85
354000 1.29807 41.0481 42.5187 47.4744 -2863.85
355000 1.29938 41.0652 42.5337 47.3901 -3792.18
356000 1.3007 41.0799 42.5487 47.3085 -5131.34
357000 1.30182 41.092 42.5637 47.2371 -3870.89
358000 1.3021 41.1109 42.5787 47.1886 -2814.26
359000 1.30196 41.1302 42.5937 47.1549 -2996.35
360000 1.30116 41.1529 42.6087 47.1415 -2928.66
361000 1.3005 41.1652 42.6237 47.1346 -3069.63
362000 1.3 41.1731 42.6387 47.127 -4115.38
363000 1.29948 41.1777 42.6537 47.124 -2977.16
364000 1.29906 41.1795 42.6687 47.1209 -3514.48
365000 1.29856 41.1883 42.6837 47.1122 -3504.02
366000 1.29828 41.1921 42.6987 47.1013 -5305.2
367000 1.29813 41.1931 42.7137 47.0895 -2987.24
368000 1.29774 41.1965 42.7287 47.0828 -3818.21
369000 1.29735 41.201 42.7437 47.0754 -3766.97
370000 1.29724 41.1965 42.7587 47.0681 -2433.91
371000 1.29706 41.1893 42.7737 47.0664 -3208.26
372000 1.29686 41.1814 42.7887 47.066 -3561.47
373000 1.29637 41.1781 42.8037 47.0712 -2616.65
374000 1.29587 41.1699 42.8187 47.0823 -3962.83
375000 1.29604 41.1503 42.8337 47.0821 -3912.25
376000 1.29688 41.1147 42.8487 47.0759 -4704.92
377000 1.29803 41.0697 42.8637 47.0691 -4103.68
378000 1.29913 41.0235 42.8787 47.0657 -5260.21
379000 1.30016 40.9789 42.8937 47.0631 -5672.83
380000 1.3013 40.9305 42.9087 47.061 -3641.35
381000 1.30168 40.8907 42.9237 47.0767 -4833.39
