# Time-averaged data for fix dta
# TimeStep v_myrho v_mylx v_myly v_mylz v_myp
159000 1.33032 42.5347 36.5556 51.9971 -3712.77
160000 1.33095 42.5129 36.5463 52.0121 -2059.46
161000 1.33181 42.4966 36.5262 52.0271 -3236.23
162000 1.33296 42.4775 36.5007 52.0421 -4218.87
163000 1.33414 42.462 36.4713 52.0571 -3820.35
164000 1.33469 42.4547 36.4519 52.0721 -2613.84
165000 1.33452 42.4566 36.4444 52.0871 -2416.76
166000 1.33374 42.4663 36.4469 52.1021 -2733.2
167000 1.33269 42.4755 36.4574 52.1171 -4766.02
168000 1.33199 42.4778 36.464 52.1321 -3407.07
169000 1.33128 42.4768 36.4737 52.1471 -3829.91
170000 1.33014 42.4847 36.4877 52.1621 -2357.34
171000 1.32895 42.4943 36.5016 52.1771 -3180.23
172000 1.32838 42.4943 36.5069 52.1921 -1955.83
173000 1.32783 42.4942 36.5115 52.2071 -2268.37
174000 1.32704 42.4911 36.5254 52.2221 -3191.29
175000 1.32612 42.4902 36.541 52.2371 -3259.62
176000 1.32525 42.49 36.5547 52.2521 -994.576
177000 1.32435 42.4898 36.5693 52.2671 -3480.61
178000 1.32394 42.4825 36.5763 52.2821 -2884.53
179000 1.32393 42.4717 36.5755 52.2971 -4763.65
180000 1.32422 42.4588 36.568 52.3121 -1934.63
181000 1.32507 42.4348 36.5548 52.3271 -2551.01
182000 1.32669 42.3962 36.5328 52.3421 -2098.77
183000 1.32829 42.3586 36.5108 52.3571 -1159.19
184000 1.32937 42.3302 36.4951 52.3721 -1823.66
185000 1.32997 42.3118 36.4841 52.3871 -3560.42
186000 1.33054 42.2929 36.4743 52.4021 -1175.65
187000 1.33117 42.2714 36.4653 52.4171 -3497.48
188000 1.33158 42.2576 36.4553 52.4321 -4928.45
189000 1.33113 42.2606 36.4547 52.4471 -3598.55
190000 1.32993 42.2723 36.4672 52.4621 -1524.07
191000 1.32836 42.2914 36.4833 52.4771 -2210.33
192000 1.32651 42.3185 36.5003 52.4921 -2695.45
193000 1.32494 42.3422 36.5126 52.5071 -3677.78
194000 1.32396 42.3545 36.5187 52.5221 -2508.71
195000 1.32354 42.3591 36.5159 52.5371 -3669.12
196000 1.32372 42.3535 36.5054 52.5521 -1857.85
197000 1.32428 42.3421 36.4893 52.5671 -3822.42
198000 1.32545 42.3219 36.464 52.5821 -2371.91
199000 1.32665 42.297 36.4422 52.5971 -3251.99
200000 1.32768 42.2772 36.4206 52.6121 -3420.6
201000 1.32848 42.2646 36.399 52.6271 -3273.13
202000 1.32879 42.2568 36.387 52.6421 -3052.44
203000 1.32848 42.2545 36.3872 52.6571 -3412.47
204000 1.32809 42.2431 36.3973 52.6721 -3367.03
205000 1.32739 42.2275 36.4196 52.6871 -2536.81
206000 1.3264 42.2156 36.4465 52.7021 -2570.21
207000 1.32552 42.2091 36.466 52.7171 -2658.47
208000 1.32441 42.2067 36.4881 52.7321 -1510.99
209000 1.32338 42.2055 36.5074 52.7471 -2770.81
210000 1.32224 42.2076 36.5267 52.7621 -2760.59
211000 1.32182 42.1977 36.5365 52.7771 -3441.69
212000 1.32176 42.1862 36.5377 52.7921 -703.294
213000 1.32184 42.1777 36.5323 52.8071 -3378.56
