Curve Energy
136500.0 -23802.94325696805
136750.0 -23803.8339876436
137000.0 -23804.13019302421
137250.0 -23804.51475527075
137500.0 -23804.02672399077
137750.0 -23803.26970669701
138000.0 -23802.85876876168
138250.0 -23802.86436103139
138500.0 -23803.03836741591
138750.0 -23803.5581981519
139000.0 -23803.21826943028
139250.0 -23803.33153420791
139500.0 -23803.04242535843
139750.0 -23802.95048285814
140000.0 -23803.44954598124
140250.0 -23803.14261922763
140500.0 -23802.4934738975
140750.0 -23803.33804311486
141000.0 -23803.64233997589
141250.0 -23802.7686738266
141500.0 -23802.19834279571
141750.0 -23803.01609502881
142000.0 -23803.31722397989
142250.0 -23802.46512129539
142500.0 -23802.49984533806
142750.0 -23803.11960895806
143000.0 -23803.16876324862
143250.0 -23803.08539576544
143500.0 -23802.47622471589
143750.0 -23802.93834993606
144000.0 -23803.55910381813
144250.0 -23802.51843868142
144500.0 -23801.77803101341
144750.0 -23801.95344363312
145000.0 -23801.93904185513
145250.0 -23802.13687295283
145500.0 -23803.01251602497
145750.0 -23801.93896132003
146000.0 -23802.19795955962
146250.0 -23801.80668654347
146500.0 -23802.82330032382
146750.0 -23803.16687789092
147000.0 -23802.6371812675
147250.0 -23802.88615312298
147500.0 -23802.00175134034
147750.0 -23801.96391981851
148000.0 -23802.89607501601
148250.0 -23803.76838472843
148500.0 -23803.13837443944
148750.0 -23801.92403531504
149000.0 -23802.58852841988
149250.0 -23803.41741212283
149500.0 -23802.68805446594
149750.0 -23803.42666287365
150000.0 -23802.93914160194
150250.0 -23802.72524849846
150500.0 -23802.40275600393
150750.0 -23802.92756654087
151000.0 -23802.64631869256
151250.0 -23802.54250331746
151500.0 -23802.27180369668
151750.0 -23802.49576276687
152000.0 -23803.08633314968
152250.0 -23803.78584917889
152500.0 -23802.64472442731
152750.0 -23802.40865526869
153000.0 -23802.2498823624
153250.0 -23801.72414758306
153500.0 -23802.83993822289
153750.0 -23803.39889739633
154000.0 -23802.69874592605
154250.0 -23801.98623068201
154500.0 -23801.45302991697
154750.0 -23801.57446884551
155000.0 -23802.09675320078
155250.0 -23802.60172951654
155500.0 -23802.79537849669
155750.0 -23801.78706473883
156000.0 -23802.05651740934
156250.0 -23801.903810203
156500.0 -23802.66016513955
156750.0 -23802.12068984146
157000.0 -23802.2163094972
157250.0 -23802.08157305067
157500.0 -23802.52236583711
157750.0 -23802.46840592349
158000.0 -23802.12365372212
158250.0 -23802.11556894114
158500.0 -23801.37472143032
158750.0 -23800.98409706339
159000.0 -23800.69449045695
159250.0 -23800.85345108639
159500.0 -23803.01890078075
159750.0 -23802.94656604341
160000.0 -23801.94428956699
160250.0 -23801.05328105297
160500.0 -23802.04995486918
160750.0 -23803.218907113
161000.0 -23801.88622816352
161250.0 -23803.0028515277
161500.0 -23801.80816707837
161750.0 -23802.33540189711
162000.0 -23802.33043553
162250.0 -23802.24147901385
162500.0 -23802.45604704698
162750.0 -23801.6254455159
163000.0 -23802.13914222897
163250.0 -23802.11966498225
163500.0 -23802.23356254865
163750.0 -23802.50070112288
164000.0 -23801.03225620532
164250.0 -23801.38259041164
