# Time-averaged data for fix dta
# TimeStep v_myrho v_mylx v_myly v_mylz v_myp
180000 1.2471 45.4328 37.479 49.0123 -2714.61
181000 1.24669 45.4478 37.4938 48.993 -2645.16
182000 1.2464 45.4628 37.5074 48.9703 -566.995
183000 1.24642 45.4778 37.5118 48.9479 -2975.06
184000 1.24631 45.4928 37.5175 48.9284 -1964.33
185000 1.24645 45.5078 37.5258 48.8958 -313.243
186000 1.24671 45.5228 37.535 48.8576 -1132.07
187000 1.24704 45.5378 37.5399 48.8224 -2074.36
188000 1.24701 45.5528 37.5468 48.7983 -1241.33
189000 1.24641 45.5678 37.5601 48.7885 -1763.34
190000 1.24553 45.5828 37.5737 48.7892 -2898.54
191000 1.24457 45.5978 37.5939 48.7848 -1634.54
192000 1.24328 45.6128 37.6182 48.7876 -2787.57
193000 1.24232 45.6278 37.6344 48.7883 -1022.82
194000 1.24159 45.6428 37.6418 48.7913 -1089.07
195000 1.24137 45.6578 37.638 48.789 -1172.56
196000 1.24166 45.6728 37.6223 48.7819 -3126.12
197000 1.24219 45.6878 37.5926 48.7838 -2549.26
198000 1.24256 45.7028 37.5626 48.792 -2577.78
199000 1.24272 45.7178 37.5348 48.8058 -1702.89
200000 1.24288 45.7328 37.5045 48.823 -4022.25
201000 1.24342 45.7478 37.4704 48.8302 -1131.12
202000 1.24413 45.7628 37.4341 48.8337 -2481.29
203000 1.24528 45.7778 37.3907 48.8291 -1736.6
204000 1.24677 45.7928 37.3448 48.8145 -1208.8
205000 1.24755 45.8078 37.313 48.8099 -1871.9
206000 1.24778 45.8228 37.2944 48.8092 -2627.52
207000 1.24851 45.8378 37.2717 48.7943 -1985.37
208000 1.24894 45.8528 37.2573 48.7805 -1888.41
209000 1.2488 45.8678 37.257 48.7702 -2955.98
210000 1.24881 45.8828 37.2578 48.753 -2369.08
211000 1.24874 45.8978 37.2592 48.7377 -3887.88
212000 1.24881 45.9128 37.263 48.7144 -4113.47
213000 1.24913 45.9278 37.2663 48.6815 -2138.89
214000 1.24953 45.9428 37.2719 48.6429 -1890.76
